dist plan_Interval
241.484 5.5476e-05
242.63 5.4004e-05
243.924 6.2186e-05
244.945 5.7645e-05
247.71 6.9
248.402 0.500082
249.386 1.0999
250.432 0.0999753
251.754 0.249935
252.937 0.350077
254.153 0.450186
255.097 5.65004
255.235 3.7366e-05
256.177 5.5224e-05
257.206 0.0499548
258.18 0.0499651
259.384 0.0999845
260.322 0.250015
261.342 0.399983
262.442 0.450026
263.353 0.49999
264.421 0.550036
265.397 0.700112
266.412 1.05002
267.302 0.900046
268.143 0.899827
269.148 1.00003
270.258 0.800132
271.226 0.899797
272.372 1.34996
273.437 1.45011
274.088 1.99998
274.697 0.450245
275.714 0.449918
276.893 0.60007
277.216 0.699946
278.251 0.650185
278.646 0.550114
279.664 0.650068
280.719 0.700002
281.674 0.750027
282.553 0.899982
283.439 0.950036
284.332 0.999997
285.272 3.39994
286.287 0.0498437
286.353 5.8254e-05
287.371 0.0498892
288.498 5.4441e-05
289.632 0.0998045
290.887 0.249841
292.062 6.04998
292.966 0.00015365
293.972 0.0500402
294.951 6.281e-05
295.938 0.0498497
297.269 0.100036
298.266 0.24999
299.095 0.249954
299.491 0.299988
300.421 0.499975
301.338 0.450089
302.257 0.500089
303.187 0.550021
304.123 0.500107
305.295 0.450118
306.551 0.449871
307.725 0.450022
308.868 0.450009
310.024 2.24993
310.937 6.5488e-05
311.656 0.149791
312.666 0.300074
313.191 0.349996
313.732 0.350175
314.776 11.6
315.876 0.200092
316.938 0.350164
318.009 0.500083
319.022 0.69986
320.326 0.60011
321.331 0.699995
322.338 0.899979
323.414 0.849924
324.365 0.949852
325.129 1.04993
326.033 1.10013
326.944 3.54996
327.887 0.0500725
328.582 0.0498308
329.318 0.000111266
330.016 0.149991
331.077 0.200004
332.444 0.299987
333.593 0.150175
334.833 1.05002
335.562 0.450088
336.303 0.450012
337.343 0.45002
338.378 0.549898
339.443 0.699895
340.446 0.799913
341.451 0.900129
342.466 0.949983
343.548 16.5001
344.446 5.272e-05
345.353 3.4676e-05
345.921 0.0499699
347.276 6.2254e-05
348.475 5.4325e-05
348.735 5.3716e-05
349.707 6.4354e-05
350.73 4.847e-05
351.767 0.00015912
352.877 0.00017188
354.009 0.0499874
354.995 1.7146e-05
355.933 6.3254e-05
357.337 5.3048e-05
358.584 0.0499771
359.99 0.0499417
361.253 0.0498501
361.774 5.3107e-05
362.62 0.0500194
363.602 6.3728e-05
364.177 0.0500884
364.986 0.0499189
365.837 5.4608e-05
366.616 5.5819e-05
367.342 6.3716e-05
368.068 0.150014
368.84 1.40001
369.543 0.199905
370.229 0.349922
370.928 0.350079
371.606 0.349922
372.253 0.249967
372.992 0.300195
373.682 0.250133
374.37 0.350033
375.06 0.49995
375.742 0.499837
376.466 5.00003
377.368 0.249993
378.678 5.45001
379.084 0.350011
379.906 0.450013
380.598 5.70004
381.377 0.350077
381.903 0.349967
382.607 0.350083
383.882 0.349989
384.829 0.349979
385.893 0.149942
387.038 0.0999749
387.883 0.250031
388.107 0.15006
389.295 0.249982
390.107 0.35012
390.687 0.350016
391.125 0.350006
391.626 0.350093
391.648 0.349998
391.681 0.449994
391.708 0.249989
391.734 0.350037
391.763 0.550065
391.787 0.449994
391.824 0.399989
391.855 0.449979
391.879 0.449991
391.908 0.499929
393.278 0.599945
394.223 0.449977
395.309 0.599924
396.332 0.599997
397.401 0.449935
398.489 0.549902
399.543 0.599956
400.647 0.449982
401.665 0.599948
403.077 0.449984
404.055 0.349864
405.137 0.34997
406.154 0.499923
407.104 0.35006
408.441 0.250064
409.488 0.349926
410.554 0.499698
411.843 0.24993
412.833 0.100012
413.951 0.250001
415.154 0.400058
417.367 0.349899
418.27 0.4503
419.367 0.350175
419.83 0.349988
420.901 0.20011
421.498 0.199792
422.578 0.250052
423.744 0.249985
423.811 0.250008
424.732 0.349867
426.026 0.349996
426.863 0.59999
427.104 0.500041
428.255 0.499905
429.334 0.550014
430.252 0.700032
431.319 0.349966
432.032 0.45004
433.147 0.449933
433.464 0.450224
434.51 0.499975
435.651 0.300049
436.987 0.449933
438.656 0.449992
440.329 0.549995
441.447 0.800016
442.696 0.800069
443.778 0.899965
444.639 1.10007
445.621 1.25014
446.109 0.899943
447.092 0.799999
448.62 0.700157
449.683 0.600116
449.77 0.599937
449.842 0.700022
450.217 0.550053
451.287 0.749918
454.615 0.549883
455.54 0.549973
456.728 0.600023
457.864 0.44997
457.981 0.450056
458.536 0.599991
460.02 0.499965
462.202 0.450198
466.545 2.59991
469.437 5.567e-05
470.66 0.150005
472.109 0.149663
473.26 0.250125
474.193 0.250118
474.638 0.349941
474.725 0.450076
474.771 1.15006
474.846 1.10019
475.228 0.950025
479.588 2.79998
481.426 5.75013
481.491 0.550042
482.732 0.499972
484.327 0.449778
485.82 0.499766
486.993 0.350093
487.819 0.200022
489.389 0.350108
490.452 0.349957
491.746 0.450085
492.827 0.44991
494.178 0.450004
495.39 0.549988
496.056 0.349818
496.759 0.450044
497.84 0.349852
498.998 0.250017
500.518 0.349817
501.606 0.450053
502.542 0.350104
503.115 0.449994
504.146 0.350014
505.359 0.349993
506.764 0.349936
507.884 0.249959
508.937 0.349986
510.066 0.35
510.939 0.249978
511.859 0.2499
512.956 0.350019
513.749 0.35003
514.795 0.450037
515.846 0.450085
516.851 0.500022
517.031 0.450047
518.36 0.450157
519.297 0.350149
520.339 0.500066
521.337 0.599946
522.462 0.350104
523.589 0.449914
524.689 0.349987
525.596 0.450147
526.467 0.449819
527.533 0.450279
528.285 1.20012
529.041 0.999797
529.964 0.800141
530.91 0.450097
532.005 0.350063
532.932 0.449994
534.048 0.449992
535.103 0.350136
535.626 0.45011
536.789 0.350165
537.986 0.449957
539.302 0.350122
540.328 0.449965
541.385 0.199965
541.835 0.200063
542.379 0.349974
543.337 0.350099
544.343 0.449993
545.422 0.549951
546.618 0.499829
547.429 0.499797
548.294 0.500018
549.188 0.54978
549.976 0.449911
551.096 0.800071
551.812 0.450172
552.847 0.349852
554.089 0.500024
554.853 0.549866
556.001 2.24992
556.995 0.449993
557.613 0.449812
558.233 0.900101
558.987 0.499821
559.779 4.00003
561.041 0.749994
562.505 0.650243
563.884 0.549939
565.364 0.700172
566.705 1.45
567.675 0.700084
568.312 0.650024
569.158 0.800083
570.374 3.65003
571.311 0.550004
572.31 0.349961
573.602 0.45002
574.612 0.500125
576.104 1.05011
576.822 0.400023
577.389 0.849943
578.149 0.300038
578.719 0.500009
579.867 0.499999
581.351 2.09995
582.275 0.550059
582.745 2.69995
583.6 0.349965
584.764 0.349917
585.666 0.34995
586.506 0.499976
587.761 0.249975
588.568 0.399943
589.328 0.350014
590.105 0.450075
590.79 0.450105
591.758 0.450065
592.537 0.500095
593.349 0.500005
594.142 0.600047
594.905 0.699955
595.613 0.750122
596.166 0.350003
596.828 0.299953
597.275 0.44989
598.051 0.249928
598.81 0.350047
599.574 0.350034
600.325 0.149988
601.073 0.249952
601.095 0.149964
602.268 0.2001
603.08 0.449946
604 0.599984
604.887 0.69998
605.742 0.600039
606.602 0.450133
607.465 0.599896
608.354 0.599991
609.58 4.3499
610.947 5.195e-05
611.895 5.7095e-05
612.911 5.1104e-05
614.387 6.2471e-05
615.739 0.0499135
616.704 3.1207e-05
618 5.2598e-05
619.528 0.150024
619.629 3.6388e-05
620.879 0.0499755
622 0.200178
622.524 0.0498975
623.684 1.7097e-05
624.182 0.800021
625.313 0.249921
625.545 4.9256e-05
626.877 0.0500236
628.373 5.1321e-05
629.597 5.0074e-05
630.859 0.700092
631.586 5.3719e-05
632.929 4.8916e-05
634.208 5.6392e-05
635.395 0.150171
636.561 0.249783
637.657 0.29994
638.831 0.450027
639.943 0.55001
641.045 0.649909
642.22 0.500036
643.664 0.549938
644.742 0.69999
646.112 0.799991
647.168 0.900111
648.213 1.35
649.406 7.35007
650.458 5.6222e-05
651.578 0.0499957
652.685 5.1688e-05
653.03 5.2089e-05
654.067 5.0881e-05
655.129 3.3546e-05
656.165 0.0502123
656.265 13.9002
656.291 6.1549e-05
656.322 1.74993
656.398 9.10021
657.52 5.1557e-05
657.755 5.5406e-05
658.854 6.2078e-05
660.154 0.000109148
661.286 5.6728e-05
662.627 2.936e-05
662.734 0.0499677
662.784 3.4873e-05
662.784 1.60005
662.784 6.0948e-05
662.784 0.650166
662.784 6.1568e-05
